,w,mpg,idx
araba.1,2.60E+03,3.81E+01,3
araba.2,3.16E+03,3.41E+01,3
araba.3,2.47E+03,3.30E+01,3
araba.4,2.97E+03,3.11E+01,3
araba.5,3.00E+03,3.00E+01,3
araba.6,3.41E+03,2.90E+01,2
araba.7,3.56E+03,2.90E+01,2
araba.8,3.62E+03,2.90E+01,2
araba.9,3.57E+03,2.70E+01,2
araba.10,4.16E+03,2.70E+01,2
araba.11,4.21E+03,2.50E+01,2
araba.12,3.62E+03,2.40E+01,2
araba.13,3.22E+03,2.19E+01,2
araba.14,3.85E+03,2.29E+01,2
araba.15,3.83E+03,2.19E+01,2
araba.16,4.26E+03,2.29E+01,2
araba.17,3.97E+03,2.09E+01,2
araba.18,4.11E+03,2.09E+01,2
araba.19,4.60E+03,2.10E+01,1
araba.20,4.97E+03,1.79E+01,1
araba.21,5.05E+03,1.80E+01,1
araba.22,5.25E+03,1.80E+01,1
araba.23,5.29E+03,1.69E+01,1
araba.24,5.66E+03,1.69E+01,1
araba.25,6.39E+03,1.69E+01,1
