Aylar,"G472. (Uzmanlaþmýþ Maðazalarda Gýda, Ýçecek Ve Tütün Perakende Ticareti)",G473. (Uzmanlaþmýþ Maðazalarda Otomotiv Yakýtýnýn Perakende Ticareti),"G47_NF_CLTH. (Uzmanlaþmýþ Maðazalarda, Tekstil, Giyim, Ayakkabý Ve Deri Eþyalarýn Perakende Ticareti)"
01-Ocak-2010,103.3,75.6,87.6
02-Þubat-2010,99.3,71.7,86.7
03-Mart-2010,111.2,90,95.1
04-Nisan-2010,86.3,100.1,91.6
05-Mayýs-2010,94.5,102.3,93
06-Haziran-2010,103.9,101.1,95.1
07-Temmuz-2010,109,124.1,99.7
08-Aðustos-2010,107.2,112.1,94
09-Eylül-2010,107.2,103.7,119.8
10-Ekim-2010,93.8,109.4,117.6
11-Kasým-2010,80.3,107.2,109.9
12-Aralýk-2010,103.9,102.6,109.8
01-Ocak-2011,89.4,86.5,104.7
02-Þubat-2011,87.5,80.5,105.9
03-Mart-2011,98.5,96.3,113.3
04-Nisan-2011,82.9,96.2,105.3
05-Mayýs-2011,87.2,105.9,108.6
06-Haziran-2011,95.8,121.2,116
07-Temmuz-2011,93.4,139.3,118.6
08-Aðustos-2011,88.9,129,132.1
09-Eylül-2011,103.8,123.2,118.4
10-Ekim-2011,99.4,122.2,141.2
11-Kasým-2011,81.1,111.2,129.7
12-Aralýk-2011,106.2,108.9,125.4
01-Ocak-2012,80.5,90.5,117.8
02-Þubat-2012,84,85.9,114.5
03-Mart-2012,81.4,100.5,126.8
04-Nisan-2012,85.3,115.2,119.1
05-Mayýs-2012,92.3,123.7,116.8
06-Haziran-2012,88.7,144,125.9
07-Temmuz-2012,94.3,151.9,114.9
08-Aðustos-2012,94,141.3,147.7
09-Eylül-2012,90.9,127.3,131.8
10-Ekim-2012,88,123,156.9
11-Kasým-2012,93.1,114.1,116.4
12-Aralýk-2012,103.9,103.1,145.9
01-Ocak-2013,90.8,84.8,120.3
02-Þubat-2013,93.7,86,123.4
03-Mart-2013,99.5,101.8,145
04-Nisan-2013,104.9,110.5,128.6
05-Mayýs-2013,106.8,120.4,127.9
06-Haziran-2013,100.3,125.6,136.1
07-Temmuz-2013,115.1,141.5,130.7
08-Aðustos-2013,138.4,149.8,163
09-Eylül-2013,122.8,128.6,153.6
10-Ekim-2013,104.3,126.6,173
11-Kasým-2013,107.1,114.5,127.2
12-Aralýk-2013,134,105.8,156.4
01-Ocak-2014,102.1,90.8,140.8
02-Þubat-2014,95.7,91.1,140.1
03-Mart-2014,121.2,105.3,153.7
04-Nisan-2014,115.5,116.8,136.9
05-Mayýs-2014,118.3,122.3,139
06-Haziran-2014,112.3,126.4,143.7
07-Temmuz-2014,118.9,134.5,164.4
08-Aðustos-2014,123.2,148.1,156.2
09-Eylül-2014,117,135.5,183.7
10-Ekim-2014,108.3,131.9,163
11-Kasým-2014,105.6,126,140.7
12-Aralýk-2014,124.4,121.3,160.5
01-Ocak-2015,106.5,105.5,148.1
02-Þubat-2015,98.7,101.1,144
03-Mart-2015,113.5,119.4,159.2
04-Nisan-2015,104.7,129.9,140.6
05-Mayýs-2015,119.5,139.6,148.2
06-Haziran-2015,128.7,138.2,139.7
07-Temmuz-2015,119.7,158.4,177.9
08-Aðustos-2015,127.1,165.9,156.1
09-Eylül-2015,132.8,146.6,185.2
10-Ekim-2015,130.9,141.1,158.6
11-Kasým-2015,139.3,133.4,139.1
12-Aralýk-2015,138.2,136.7,164.3
01-Ocak-2016,125.4,102.9,149.1
02-Þubat-2016,117.9,110.6,152.9
03-Mart-2016,135.4,121.6,157.8
04-Nisan-2016,125.6,130.1,152.3
05-Mayýs-2016,131.4,139.6,148.6
06-Haziran-2016,127.5,140.6,153.1
07-Temmuz-2016,133,165.4,156.1
08-Aðustos-2016,133.1,165.2,156.7
09-Eylül-2016,121.7,154,189.1
10-Ekim-2016,105,140.2,169.8
11-Kasým-2016,103.6,129.1,152
12-Aralýk-2016,122.2,119.9,186.5
01-Ocak-2017,104.7,95.8,157.6
02-Þubat-2017,113.4,97.8,153.6
03-Mart-2017,123.4,116.3,175.9
04-Nisan-2017,112.8,126.6,173.6
05-Mayýs-2017,108.9,141.9,166.9
06-Haziran-2017,148.7,147.1,181.4
07-Temmuz-2017,135.8,170.2,171.3
08-Aðustos-2017,106.2,167.1,191.1
09-Eylül-2017,125.9,151.8,169.1
10-Ekim-2017,132,147.7,186.9
11-Kasým-2017,119.9,137.6,174.8
12-Aralýk-2017,126.4,141.7,188.3
