Program Kodu,Program Adı,Puan Türü,Genel Kont.,Yerleşen,En Küçük Puan,En Büyük Puan,"OB
Kont.","OB
Yer.","OBK En
Küçük Puan","OBK En
Büyük Puan"
106510090,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/İnsan ve Toplum Bilimleri Fakültesi/Psikoloji (İngilizce),EA,40,40,"387,53855","450,74011",1,1,"339,80911","339,80911"
106510089,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/İnsan ve Toplum Bilimleri Fakültesi/Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce),EA,50,52,"314,53267","441,03741",2,0,---,---
106510014,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Mimarlık Fakültesi/Mimarlık (İngilizce),SAY,60,61,"392,19946","453,84843",2,1,"321,95960","321,95960"
106510077,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Mühendislik Fakültesi/Bilgisayar Mühendisliği (İngilizce),SAY,70,70,"461,36797","506,38149",2,2,"440,35330","440,61326"
106510068,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Mühendislik Fakültesi/Elektrik-Elektronik Mühendisliği (İngilizce),SAY,70,70,"439,05567","477,05820",2,2,"285,74116","366,38762"
106510023,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Mühendislik Fakültesi/Endüstri Mühendisliği (İngilizce),SAY,60,61,"413,32107","459,64833",2,1,"349,87704","349,87704"
106510032,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Mühendislik Fakültesi/İnşaat Mühendisliği (İngilizce),SAY,60,62,"287,94296","393,05604",2,0,---,---
106510041,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Mühendislik Fakültesi/Makine Mühendisliği (İngilizce),SAY,60,62,"401,03082","444,08149",2,0,---,---
106510087,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Yaşam ve Doğa Bilimleri Fakültesi/Biyomühendislik (İngilizce),SAY,60,62,"307,35260","375,05225",2,0,---,---
106510086,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Yaşam ve Doğa Bilimleri Fakültesi/Moleküler Biyoloji ve Genetik (İngilizce),SAY,60,62,"366,00607","450,41203",2,0,---,---
106510088,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Yönetim Bilimleri Fakültesi/Ekonomi (İngilizce),EA,50,52,"304,85353","472,78575",2,0,---,---
106510059,ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ) (Devlet Üniversitesi)/Yönetim Bilimleri Fakültesi/İşletme (İngilizce),EA,60,62,"320,65151","491,64569",2,0,---,---
200110265,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi)/Eczacılık Fakültesi/Eczacılık Fakültesi (İngilizce) (Ücretli),SAY,33,33,"408,50128","425,11509",---,---,---,---
200110274,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi)/Eczacılık Fakültesi/Eczacılık Fakültesi (İngilizce) (Burslu),SAY,8,8,"484,51363","504,96343",---,---,---,---
200190060,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi)/Eczacılık Fakültesi/Eczacılık Fakültesi (İngilizce) (%25 İndirimli),SAY,12,12,"427,74063","454,83663",---,---,---,---
200110211,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi)/Fen-Edebiyat Fakültesi/Moleküler Biyoloji ve Genetik (İngilizce) (Burslu),SAY,6,6,"478,53053","487,19196",---,---,---,---
200110229,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi)/Fen-Edebiyat Fakültesi/Moleküler Biyoloji ve Genetik (İngilizce) (%25 İndirimli),SAY,34,34,"327,06491","466,23225",---,---,---,---
